Distance(degrees),P Arrival Time (sec),S Arrival Time (sec)
0,5.4,9.4
0.5,10.6,18.4
1,17.7,31.2
1.5,24.6,43.6
2,31.4,55.8
2.5,38.3,68.2
3,45.2,80.6
3.5,52.1,93
4,58.9,105.3
4.5,65.8,117.7
5,72.7,130.1
5.5,79.6,142.4
6,86.4,154.7
6.5,93.3,167.1
7,100.2,179.4
7.5,107,191.7
8,113.9,204
8.5,120.7,216.3
9,127.6,228.6
9.5,134.4,240.9
10,141.3,253.2
11,155,277.7
12,168.7,302.2
13,182.3,326.6
14,196,351
15,209.5,375.3
16,222.5,399.6
17,235.2,423.9
18,247.5,448
19,258.8,472.2
20,269.7,493.5
21,280.6,513.5
22,291.3,533.1
23,301.9,551.1
24,311.6,567.3
25,320.7,583.3
26,329.8,599.2
27,338.8,615
28,347.7,630.6
29,356.6,646.4
30,365.5,662.1
31,374.3,677.7
32,383.1,693.3
33,391.9,708.9
34,400.5,724.3
35,409.2,739.7
36,417.8,755.1
37,426.3,770.3
38,434.7,785.4
39,443.1,800.5
40,451.4,815.4
41,459.7,830.4
42,467.9,845.2
43,476,859.9
44,484.1,874.5
45,492.1,889.1
46,500,903.5
47,507.8,917.7
48,515.6,932
49,523.3,946.1
50,530.9,960
51,538.5,974
52,546,987.8
53,553.4,1001.5
54,560.7,1015
55,568,1028.5
56,575.2,1041.8
57,582.3,1055.1
58,589.4,1068.2
59,596.3,1081.2
60,603.2,1094.1
61,610.1,1107
62,616.8,1119.6
63,623.5,1132.2
64,630.1,1144.6
65,636.7,1157
66,643.2,1169.3
67,649.5,1181.3
68,655.9,1193.4
69,662.1,1205.2
70,668.3,1217
71,674.4,1228.7
72,680.4,1240.2
73,686.4,1251.6
74,692.3,1262.9
75,698.1,1274.1
76,703.8,1285.1
77,709.5,1296.1
78,715.1,1306.9
79,720.6,1317.6
80,726,1328.1
81,731.4,1338.6
82,736.7,1349
83,741.9,1359.2
84,747,1369.2
85,752,1379.1
86,757,1388.9
87,761.9,1398.6
88,766.7,1408.1
89,771.4,1417.5
90,776.1,1426.8
91,780.7,1435.9
92,785.4,1444.9
93,790,1453.7
94,794.5,1462.4
95,799.1,1471.1
96,803.6,1479.7
97,808.1,1488.2
98,812.6,1496.7
99,817,1505.1
100,821.5,1513.5
101,825.9,1521.7
102,830.4,1530.1
103,834.8,1538.4
104,839.2,1546.7
105,843.7,1555.1
